depth [ft],Calcite ,Chlorite,Dolomite,Hematite,Illite,K-Feldspar,Kaolinite,Porosity,Quartz,Clay,Bulk
5089.25,0.11034,0.11224,0,0,0.13299,0.2016,0,0.02984,0.41299,0.27505,41.40303448
5089.75,0.11214,0.10576,0,0,0.10074,0.1632,0,0.02504,0.49312,0.23154,35.8537931
5090.25,0.10973,0.10689,0,0,0.08616,0.13955,0,0.02334,0.53433,0.21638,32.46324138
5090.75,0.09937,0.11788,0,0,0.0918,0.14165,0,0.02534,0.52395,0.23501,31.99813793
5091.25,0.08627,0.14171,0,0,0.10885,0.1662,0,0.03027,0.4667,0.28082,31.46248276
5091.75,0.07743,0.17119,0,0,0.12496,0.19875,0,0.03574,0.39193,0.33188,30.93413793
5092.25,0.07253,0.19302,0,0,0.14278,0.23003,0,0.04054,0.3211,0.37632,29.69793103
5092.75,0.06593,0.19872,0,0,0.15844,0.25393,0,0.04317,0.27981,0.40032,28.74103448
5093.25,0.0516,0.19596,0,0,0.17448,0.27688,0,0.04486,0.25622,0.41529,28.00848276
5093.75,0.03514,0.19669,0,0,0.18922,0.29522,0,0.04679,0.23694,0.43269,28.14262069
5094.25,0.03104,0.20038,0,0,0.20322,0.30928,0,0.04898,0.2071,0.45256,29.50841379
5094.75,0.05317,0.20037,0,0,0.21512,0.3151,0,0.05047,0.16578,0.46595,31.24475862
5095.25,0.07515,0.19977,0,0,0.21294,0.31838,0,0.05012,0.14363,0.46282,31.43
5095.75,0.11712,0.18757,0,0,0.2118,0.3192,0,0.04855,0.11576,0.44791,30.10489655
5096.25,0.13324,0.1859,0,0,0.20102,0.32737,0,0.047,0.10547,0.43391,29.096
5096.75,0.13001,0.18174,0,0,0.20408,0.34034,0,0.0469,0.09693,0.43271,29.6417931
5097.25,0.10404,0.18429,0,0,0.21257,0.34977,0,0.04826,0.10107,0.44511,31.74372414
5097.75,0.07448,0.18988,0,0,0.21493,0.35346,0,0.04921,0.11805,0.45401,34.30696552
5098.25,0.05205,0.19134,0,0,0.20703,0.34624,0,0.04839,0.15495,0.44675,35.55344828
5098.75,0.03751,0.18773,0,0,0.18822,0.34186,0,0.04561,0.19908,0.42155,36.10241379
5099.25,0.02846,0.18176,0,0,0.16909,0.34983,0,0.04251,0.22835,0.39335,34.91496552
5099.75,0.0267,0.1804,0,0,0.15931,0.364,0,0.04113,0.22845,0.38084,33.69724138
5100.25,0.03751,0.18296,0,0,0.16629,0.37328,0,0.0423,0.19765,0.39154,32.17351724
5100.75,0.052,0.18758,0,0,0.17775,0.37778,0,0.04428,0.16062,0.4096,30.88827586
5101.25,0.06013,0.19044,0,0,0.18161,0.38589,0,0.0451,0.13683,0.41713,30.93137931
5101.75,0.06142,0.1879,0,0,0.17995,0.39283,0,0.04459,0.1333,0.41244,32.34682759
5102.25,0.05194,0.18696,0,0,0.18319,0.3952,0,0.04489,0.13782,0.41503,34.02089655
5102.75,0.04134,0.18929,0,0,0.19069,0.38618,0,0.0461,0.14639,0.42608,34.88586207
5103.25,0.03813,0.19506,0,0,0.19954,0.36579,0,0.04789,0.15359,0.44247,33.74937931
5103.75,0.05151,0.20209,0,0,0.20147,0.34153,0,0.04895,0.15444,0.45251,32.42331034
5104.25,0.07225,0.20823,0,0,0.19728,0.31694,0,0.04915,0.15616,0.45464,32.99931034
5104.75,0.07991,0.21103,0,0,0.1977,0.3034,0,0.04953,0.15842,0.45826,35.35055172
5105.25,0.06642,0.20764,0,0,0.19984,0.30561,0,0.0494,0.17109,0.45687,37.37413793
5105.75,0.04606,0.19796,0,0,0.19548,0.32104,0,0.04772,0.19174,0.44115,38.25324138
5106.25,0.03848,0.18586,0,0,0.17724,0.33058,0,0.04401,0.22382,0.40711,38.3717931
5106.75,0.04539,0.17579,0,0,0.15688,0.33214,0,0.04028,0.24951,0.37295,37.18951724
5107.25,0.05469,0.16892,0,0,0.14221,0.33946,0,0.03764,0.25707,0.34876,36.21786207
5107.75,0.06104,0.16393,0,0,0.13782,0.35443,0,0.0365,0.24628,0.33824,36.12055172
5108.25,0.06772,0.16171,0,0,0.14378,0.36351,0,0.03699,0.2263,0.34247,35.66544828
5108.75,0.0818,0.16381,0,0,0.16111,0.3591,0,0.03941,0.19477,0.36432,34.78827586
5109.25,0.10228,0.16784,0,0,0.17855,0.34905,0,0.04206,0.16022,0.38844,33.80117241
5109.75,0.12065,0.16779,0,0,0.18602,0.34738,0,0.04299,0.13517,0.39679,32.8042069
5110.25,0.12692,0.16117,0,0,0.1817,0.35326,0,0.04168,0.13528,0.38454,32.02862069
5110.75,0.12194,0.15029,0,0,0.17399,0.35531,0,0.03944,0.15904,0.36371,31.68737931
5111.25,0.11035,0.13815,0,0,0.17203,0.3497,0,0.03777,0.192,0.34794,32.28717241
5111.75,0.096,0.12526,0,0,0.17233,0.34585,0,0.03629,0.22426,0.33388,33.16882759
5112.25,0.08277,0.11202,0,0,0.16947,0.34987,0,0.03438,0.25149,0.31586,33.88765517
5112.75,0.07351,0.10106,0,0,0.16369,0.35894,0,0.03237,0.27041,0.29712,33.71227586
5113.25,0.07104,0.09564,0,0,0.15208,0.36438,0,0.03731,0.27955,0.278,32.18365517
5113.75,0.07146,0.09563,0,0,0.14028,0.36203,0,0.04589,0.28472,0.2647,30.52696552
5114.25,0.06886,0.09609,0,0,0.13132,0.36052,0,0.05281,0.29038,0.25514,28.93262069
5114.75,0.06476,0.09016,0,0,0.12531,0.36981,0,0.05648,0.29348,0.24175,28.05
5115.25,0.06326,0.07401,0,0,0.11698,0.38745,0,0.06602,0.29227,0.21433,27.558
5115.75,0.06494,0.05433,0,0,0.10553,0.40362,0,0.07777,0.29381,0.17945,26.65468966
5116.25,0.06059,0.0419,0,0,0.0985,0.41202,0,0.08911,0.29788,0.15765,25.52565517
5116.75,0.04635,0.03912,0,0,0.10476,0.41426,0,0.09252,0.30299,0.16159,25.24082759
5117.25,0.02927,0.04054,0,0,0.11085,0.41203,0,0.09609,0.31123,0.17004,25.68034483
